,reviews-title,reviews-text,stars,nlp-grade
433,Great NYC Attraction,"My friend had never been to the ESB so it was time for a trip. We went on a Saturday in September 2022 and it was magical. The signage could have been better because if you buy the tickets to the 86th and 102nd floors, you have to take three different elevators and you have to wind around to those elevators in a strange fashion. 80th first, walk around, 86th second, walk around, and finally 102nd third, and walk around. When you are done, you will be able to go to the gift shop on the lower level.
Other than that, it was a great experience with great views. Totally get the picture package made from the picture you take when you first enter through the lobby. Allow some time to take in these awesome views of the city.",5.0,4.9304
434,Great experience,The whole building was spotless and beautifully decorated. Tour guides were very pleasant and helpful.,5.0,4.7698
435,Fantastic time,Everyone was very welcoming and everything was very clean. We enjoyed the new layout and exhibits. The elevator switch board was cool,5.0,4.8022
436,Disappointed,Paid the extra price for sunset experience. Chose one of the available time slots listed. Got to the top and sun was already down. They should not sell sunset tickets after sunset.,3.0,3.4046
437,Rude staff and unorganized queue.,"I’ve been to the Empire State building before and had good experiences, however this time the staff barked orders at me and my family and it was confusing where to line up.",2.0,3.5
438,Iconic Building,"We booked the 10am slot which was a little busy being the first of the day. The history of the building before the ascent was very interesting and well presented.

TIP: save taking photos until you are on the 86th floor rather than through the glass on 80th",4.0,4.6408000000000005
439,Nice Art Deco,"Iconic landmark that has to be seen, I especially loved the art deco and the views up top of course.",4.0,4.485
440,Must see,"Did not disappoint. Amazing NYC experience. Everything was really top notch quality, especially the staff!",5.0,3.2918
441,"Overbooked, crowded and unenjoyable!!",I went with my friend around the sunset hour and there was a huge line downstairs!! Upstairs were too many people you couldn’t even have a look at the view let alone take a picture. For the price we paid it was a very disappointing experience! I know it’s tourist season but it still was too crowded and very unenjoyable!!! What’s the point of timed tickets??,1.0,3.7354000000000003
442,Brilliant experience!,"Had a great visit to Empire State Building, not crowded, lots of staff around to assist. Great views, and a brilliant experience!",5.0,4.846
443,Worth the money,"My first time in NYC, I was a little reluctant to believe the hype - seeing a city from high up is nice and all, but it wouldn't have been the first time a ""must-see"" location ended up being a little underwhelming. I cannot overstate how much this wasn't the case!
My friend and I booked a sunset time slot. After going through the corridors highlighting major events in the life of this building, we finally got to the elevators and went up to the first viewing point. In the daylight the city was beautiful - the whole of Manhattan, the river, the city beyond provided such a dramatic backdrop, it was stunning! By the time we went up the second elevator to the outside balcony, dusk has finally started settling in. Little by little the city lights started to come on - the sun was setting - and suddenly the view has transformed completely. Against the already lovely colours of the sky the city lights painted an even more beautiful picture - I have no idea how long we stayed there just admiring the view. Definitely one of the highlights of our trip!",5.0,4.9726
444,Amazing Views,Booked a night reservation at Empire State Building to experience the night lights & Wow a View. Beautiful,5.0,4.6541999999999994
445,Amazing view with a great Museum,"Great view, and really enjoyed the museum. Was of course super crowded and quite expensive with no discounts for teenagers.",5.0,4.7574000000000005
446,"Yes you have to go! We went and everything was so wonderfull! The view, shop, escalator and the staff",We went till 86th Floor. It was great. Even went outside to Enjoy the view! The staff is Nice and Will guide you throughout the building.,5.0,4.7716
447,8/10 Stars,"Most employees were nice and accommodating, except one employee was very rude. My phone that had the tickets on it had died and everyone except one employee was willing to help. View was very pretty though.",4.0,3.6642
448,Very Disappointing,"Horrible experience, it was cloudy and rainy so there was no view and no refund was offered. Elevator staff was very rude and disrespectful. Upgraded ticket to be able to skip the line and go to 102nd floor and wasn’t offered a different day nor a refund. Very disappointed.",1.0,1.3
449,Brilliant,Extremely well organised views were amazing..no hassle no worries friendly staff eventhough very busy plenty of space,5.0,3.3026
450,Beautiful view,"Very nice view, clean and beautiful museum. I bit expensive maybe :)
The staff is friendly and tells you how to go. Everything is clean and definitely not to crowdy. Pictures are very expensive, they print them out even if you don’t buy them.",4.0,4.9350000000000005
451,Worth every penny,"Great views both inside and out of attraction. Very educational and staff is very friendly. If you can go for sunset, you will get amazing pictures",5.0,4.8742
452,Empire visit 2022,I thought I booked a VIP ticket for $113 but I was herded along with the regular crowd. Very disappointed! Of course the views were amazing and a couple got engaged as I took their photo—so cool!,3.0,4.7620000000000005
453,Amazing Empire state building experience,"The Empire State building was AMAZING! I highly recommend visiting this landmark. My 11 and 12 year old kids absolutely loved it. They have a little museum showcase on the 80th floor i believe before going to the 86th floor for the outside experience. Its very well layed out and entertaining. The views are amazing! I recommend you purchase the additional 102nd floor view. Don't be cheap, its a ounce in a lifetime experience. Also, i recommend you visit one of the other observation decks, so that you can see the empire state building from that point of view. Just a heads up- DON'T reserve the sunset view on the empire building, reserve it on one of the other buildings, like the Edge observation deck. WHY, because you will be able to see the Empire state building LIGHT UP from the other building! Enjoy your trip!",5.0,4.973
454,Empire State Building is just Awesome and book the VIP Tour,"We booked the VIP Guided Tour (Premium Experience) and our tour guide was Renita E.! At first, nobody knew that we were coming but after Renita showed up, it ended up being the absolute best sightseeing tour ever! Renita is very passionate about her job, she knows so much and makes you feel special! It was a true VIP Tour with beautiful views, a history lesson and also opportunities you would never get! The Empire State Building is truly a historic building which YOU HAVE TO SEE! Book the VIP tour and ask for Renita!",5.0,4.9882
455,Don't Miss Visiting the Empire State Building,We only had a little time to visit The Empire State Building so we prioritized getting to the 86th floor observation deck. I wish we had more time to explore the museum and the gift shop. There wasn't a huge crowd so that was nice as we were able to get on the elevator quickly and make our way to the deck. I am glad we made the decision to go up. Our other option was shopping at Macy's! The staff are excellent and very helpful. They are also very friendly and welcoming. Don't miss this when in NYC!,5.0,4.9510000000000005
456,great,"My first trip to New York was great! And at the end of my trip, I went here. I can't express how beautiful it was. If I go to New York again, I will visit here!",5.0,3.7382
457,NYC Skyline Review,Everything was great! The observation deck was nice. Rain was forecasted but never showed during our sunset visit. I do recommend paying the extra if you can in order to bypass as many lines as possible.,4.0,4.5802
458,A great view with equally impressive exhibits!,"I was surprised at how much effort was put into the museum exhibits which you pass through on the second floor before taking the elevator up to the top. I was not expecting the ticket, which I initially thought was overpriced, to include something like this! It's actually a very interactive experience that puts you back in time when the Empire State Building once loomed large over the city. An impressive technological feat that can get lost if you just go up for the view, so definitely give yourself time to explore the exhibits first!",5.0,4.6944
459,Great experience,A great tour. There was enough to read without being overwhelming and the CGI stuff was brilliant. We went to the very top and had it to ourselves at one point.,5.0,4.7496
460,Broke elevator,Elevator broke to higher floor. 100 something. Had to wait on line to get refund. Then had to dispute refund. Because they never issued it. I get broken elevator but refund was crap.,3.0,1.396
461,Pleasant experience with Empire State Building,The visit was very exciting. We did miss our time slot but they allowed us without any questions. Thanks to them.,5.0,2.425
462,Disappointing,Unfortunately was not a great experience. We bought a “reservation” for a certain time but the viewing area was packed with people literally standing crammed together hoping for a glimpse of the view. It’s unbelievable that we would pay so much money to wait in extremely long lines and be packed in like sardines. They clearly over sell tickets and the “reservation” is pointless. Very disappointing experience for the amount of money we paid (over $100 for two people),2.0,4.2408
463,Sunrise,It was a very clear day. The weather was perfect. This view is truly breathtaking. Please make plans to do it at least once.,5.0,4.8598
464,Everything was great but…,"Firstly, the on-site team at ESBNYC was great. Most of them were polite and courteous to the entire crowd.

I have the following feedback for management:
1. Please put up signs indicating where people need to queue to enter the building. Everyone hears they have to start queueing next to Starbucks but ends up trying to get in from the revolving doors next to the Starbucks Reserve. Proper marshaling can help mitigate crowd frustration. Even something as simple as a standee or a poster indicating where to queue can change things.

2. The booking for time-slots is somewhat misleading. It tells you you’re booking a 15 minute slot but you reach ESB and then it turns out that is just your entry time?? I paid $10 above ticket price for the sunset slots. However, because of this misinformation, I did not get to stop by any of the exhibits inside the building and had to rush to the top.

3. ESBNYC needs to find a way to limit the time people spend on top of the tower because it is NOT fair to the ones who pay extra money to be there for sunsets. I spoke to people who were on the 80th and 86th floor since over 60 minutes. I don’t know how this can be done effectively, but I’m pretty sure it is possible.",3.0,4.82
465,Great Experience as Always,I have done this a few times before and this one was great too. There is a self guided tour that talks about the history of the building which is cool too. Things have been upgraded since my last visit about 4 years ago.,5.0,4.5012
466,Amazing visit,Amazing visit - efficient and well run. Staff was great! The views were spectacular! Cannot wait to go back!,5.0,4.8568
467,Well worth the visit to 102nd Floor!,Totally enjoyed the experience. There’s so much information about the history of the building to digest along the way to the top so allow plenty of time to make the most of it.,5.0,4.5672
468,More than expected,The planning and marketing that went into it was amazing. It wasn’t just riding an elevator to the 86 floor. It was a whole experience with a story and old photos. Great!,5.0,4.5288
469,1st Visit to ESB,My first tour of the ESB was before renovations. I was impressed by the transformation. My guest can now add his tour of the Empire State Building to his Bucket List.,4.0,3.9534000000000002
470,"Great historical background, but a little bit expensive","Empire State Building has great history. The architecture is great, the view is nice and it is more in the center. The overall experience is however not so stunning as One World Observatory or The Edge, but the price is higher and you have to pay extra for 102.",3.0,4.0922
471,Amazing and so renewed!,"The Empire State Buiding is an icon and, for us, always a must. And the renovation made is great. We love it!",5.0,4.7244
472,Empire State Building,"Absolutely awesome experience, amazing and breathtaking views of NYC and such a grand building. A must do when in The big Apple.",5.0,4.8754
473,Kindness from Everyone,"I loved the views, I loved the exhibits, but what I remember the most was how genuinely kind and friendly every staff member was.",5.0,4.86
474,Empire State 86th floor.,"Overpriced and rude staff. Like a prison induction. Once we got past the staff it was a pretty good experience. Very peaceful up there at night, great breeze. Oh yeah, no place to sit, no vending machines. They want you in and out.",2.0,4.6798
475,Getting better with time,"Our family of six (kids ages 10-16) had a great trip. We bought tickets in advance, and we found the lines to be very manageable. The displays on the way to the upper decks were interactive and informative - much better than when we have visited in years past. The computer animation is cool, and it’s smart the way they have included displays on the ceilings of the elevators also. The views were as stunning as ever. Would highly recommend.",5.0,4.8936
476,NYC visit,First Empire State Building visit and it was so much more than we imagined! Can’t wait to go back and experience it again. Learning g the history and seeing the past was wonderful,5.0,4.2228
477,Empire State bldg family visit,Worth the price of the ticket to go up to the 102nd floor. Ask for Renita. She is an amazing guide and very courteous.,5.0,4.7032
478,A must do,Interesting museum and obviously great views. Staff were great and the exhibits were very interesting and varied,5.0,4.8624
479,Empire State Building,"Fun filled and educational. No rush through, took our time to enjoy several focal points.
Even though it was a bit compact for the observatory view, everyone was patient and polite for all to enjoy the view. Security, and safety was optimum.",5.0,4.8271999999999995
480,Amazing tour,This is one of the best tours I’ve been on. They did a great job to make it interactive and lots of photo opportunities. As well as the amazing views of the city. I highly recommend.,5.0,4.9234
481,Visit review,"The process of getting to the upper floor felt like moving a herd/cattle. A mood-destroying process that no one asked for neither is pleased to be part of by the time we reach the 86th floor. The 102nd floor was the compensation. Overall, an over-priced, over-crowded experience: becoming a tourist trap to be avoided if not improved and smoothed.",2.0,1.3894
482,Great View...Shame About The Staff,"The Empire State Building is a must visit, iconic experience...the view is amazing That said, the security staff are rude and talk to you as if you are stupid and are just extremely unpleasant. That combined with the scammers picking on visitors in the queue outside (which the staff inside know all about, but choose to ignore) ruined the overall experience.
If the scamming issue outside was dealt with, and the security staff inside learnt some manners, then this would without doubt be a 5 star rating. Such a shame.",3.0,1.5934
483,NYC Must See!,"Loved going up the Empire State Building! While I had been in it before for work, I’ve never made my way to the top. When visiting with my nephew for the first time, this experience was at the top of his list. He loved it! Great views of Manhattan and Central Park. We were able to spot Yankee Stadium which was fun for him.

The elevator rides were awesome. Loved the video of them building as you go up!

I’d recommend maps or iPads that tell you what you’re looking at. Later on our trip we did One World Observatory and loved the interactive iPad map.

Since we had so much to fit on this trip I did buy the express tickets for 86&102 so we wouldn’t have to wait in line. Somehow there wasn’t a line anyway when we went so it was sort of a waste but I appreciated the VIP treatment nonetheless.",5.0,4.9646
484,Great exhibits,The exhibits at the Empire State Building are extremely well done. It is visually stunning. It is also very informative. Each part of the exhibit connects you to the story and the magnitude of the importance of the building.,5.0,4.5148
485,"Local to NYC, LOVED this tourist spot","What a great visit to ESB! I live in Brooklyn and my two young kids have been curious to ""go to the top"" so we finally did it and the entire experience exceeded expectation. Though it's not cheap, the lead-in to the viewing decks is lots of fun and there are lots of fun photo ops. A weekday afternoon was also great for avoiding crowds. Highly recommend for tourists and locals to take in the greatest building in the greatest city in the world!",5.0,4.9643999999999995
486,Empire State Building / New York City - King Kong loved it and so will you!,"The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan, New York City.
The building was designed by Shreve, Lamb & Harmon and built from 1930 to 1931. Its name is derived from ""Empire State"", the nickname of the state of New York.
The Empire State Building and its ground-floor interior were designated city landmarks by the New York City Landmarks Preservation Commission in 1980, and were added to the National Register of Historic Places as a National Historic Landmark in 1986.
The Art Deco architecture, height, and observation decks have made it a popular attraction & icon. Approx. four million tourists from around the world annually visit the building's 86th- and 102nd-floor observatories (Spire).
The building has been featured in more than 250 television series and films since the film King Kong was released in the year 1933.
Staff is super friendly and helpful.
I personally would only recommend the fast lane tickets during super peak times in the summer, otherwise the ""regular"" tickets work just fine.
Also the tickets for the 102 floor visit appear a bit super pricy and the views from the regular 86 floor are equally phenomenal and significantly less expensive than for the 102 floor. The decision is yours as always.",5.0,4.9528
487,Book an earlier slot for sunset,We hadn’t realized that there was a display explaining the history of the Empire State Building on the way to the elevator. We booked a slot to see the sunset and had to rush up in order not to miss it. Don’t book the time the sunset is due but at least 30mins earlier in order to see everything and be on the deck for the sunset.,4.0,3.1144
488,Teen daughters dream trip,Took my daughter on a surprise trip to New York. Quality father and daughter experience taking in the site and sounds of NYC including the whole Empire State Building experience. 102nd floor was an additional bonus. Fantastic panoramic view of the city and beyond.,5.0,4.6962
489,Amazing building and Views,"One of my favourite places in New York. Well worth a visit, especially around sunset. Just dress warmly as its pretty windy when you step outside near the top. With our New York Passes, we still had to queue and then select a time slot to come back. Maybe visit early & book your ticket for later. Enjoy!",5.0,4.843
490,Great experience,We went to the very top of the ESB which is on floor 102 and definitely worth the extra money to do this. Great views at sunset,5.0,4.7804
491,Great way to see how big NYC really is,"Was very organized and easy to navigate. Staff seemed happy to be working there and enjoy their job!
Views were breathtaking at night!",5.0,4.856
492,First NY experience,We bought the express tickets and were very pleased with the experience. Everything seemed clean and modern and easy and fun to navigate.,5.0,4.804
493,Best view of the City !!!,No windows in front of you to take the best Photos of the City. Best view is north to Bryant Park and Times Square.,5.0,4.604
494,A top experience,"Very good, informative and educative exhibition plus a top view from observation decks. Visitors professionally and politely guided through the building by staff.",5.0,4.223
495,The most iconic elevated view,"We had done other observation decks, but this is the nicest for overall experience. Fun and interesting information to read on the way up, beautiful views from the top and actually not feeling too crowded even though there were a lot of people. Nice friendly staff too, which is important for the overall feel you get from this building.",5.0,4.9684
496,Would go again,"Mid week late Aug visit, purchased tickets online so no hassles and very little wait time line moved quickly. Entrance easy to find, once inside friendly helpful attendants. Like displays of history in corridors prior to elevator ride up. Paid the extra for very top, enclosed and air conditioned - worth it though lower level is outside, you feel and hear the city.",5.0,4.7058
497,Honeymoon - 60 years after parents,60 years ago my parents honeymooned in NYC and got a picture at the Empire State Building. We recreated that moment on our honeymoon. Highlight of trip for me!!,5.0,3.9118
498,A must see of NYC,Fantastic from start to finish. Amazing way to discover the Empire State. Learnt so much! And beautiful and breathtaking views from the top few floors.,5.0,4.898
499,Bang for the buck!,"Compared to all the other “pay for” tourist place’s, this seems to be the best bang for the buck! Well worth it!",5.0,4.6617999999999995
500,It is worth the money!,"It was almost $600 for 4 of us, but we were moved right along and there were no real lines to get to the 86th and 102nd floors of the ESB. The people there are wonderful and very accommodating..well worth the money to save a lot of time",5.0,4.7676
501,Amazing views,"Great experience and probably my most favourite of all the sites we visited during our stay in NY. The views are breathtaking, and we had great weather so even better",5.0,4.8738
502,Beautiful Building inside and outside.,"It’s a beautiful place to enjoy the view of the city, learn some history of the tall building, beautiful places to take great pictures, and finally watch the sunset from the roof top, with a complementary gift shop at the end of the tour, they actually sell all there souvenirs way cheaper than the people who are outside the building so don’t hesitate the prices.",5.0,4.9094
503,Better than ever,Loved the renovations - looks so great. Had an amazing time with my teenage nephew. The views on the 103 floor are not to be missed.,5.0,4.8832
504,One of New Yorks 'has to be done' sights,"Apart from the obvious great views the museum which you pass thro on the way to the lifts is very informative and provides some great photo opportunities.

Yes it could be considered a little pricey for what it is - but it is one of the must visit sights when in New York",4.0,4.55
505,Great views,"We bought the standard admission ticket for 86th floor and went on a morning around 11.00am was no queue, very efficient getting everyone up to the top and a nice bit of a museum about the history and construction of the building. Once at the top you can go straight out on the deck and wander all the way round for great views of the city. The deck can get quite busy and not as big as I thought it might be but great being in the open air, would recommend for those not been to the city before. Efficient getting people back down again lots of lifts.",4.0,4.925
506,Empire at night is magical,My boyfriend has never been to nyc I really wanted to make his trip special. On our last night we walk on 5th and we saw the Empire State and we just looked at each other and we thought let’s do it. I looked online and I saw that you could go at night it was already 10pm I bought tickets for 10:30 so we had time to walk to get there. They’re was little people and it was raining but it was so nice . Employees super friendly and the whole thing was perfect a great way to end our trip,5.0,4.9684
507,Amazing,The whole experience was amazing. No queues and all guides very welcoming. On the 102nd floor we were lucky to meet the lovely Regita (guide) A very lovely lady.,5.0,4.89
508,Don't bother with the top floor,"The best experience is the 86th floor open observatory. We paid extra for the 102nd floor - -which is enclosed and less good. The 86th is the best experienice, so save your money - there's no need to go to the top.",4.0,4.8674
509,Breathtaking Views,"When we last visited NYC we didn't get to the ESB so this was a must for our second visit and was the first place we visited after arriving back in NYC.

What a great start, there is history, great views and the venue is very well organised.",5.0,4.7816
510,Great,It was very worth it to see EDB. Lots of history to see inside before venturing to the top. The views were fabulous. We purchased skip the line tickets. We would not have had to do that at 10am.,5.0,4.5001999999999995
511,Awesome,Excellent visit. Employees were very helpful and nice. I liked the gift shop. Last time I was there it was on the 86th floor and very small.,5.0,4.8776
512,Way better than I remember my last visit from years ago,"They have thoroughly upgraded and improved the experience! The museum, interactive multimedia presentations, and views from the 80th story windows were new to me and certainly worth the price!",5.0,4.6091999999999995
513,First timer.,"It was my girlfriend’s first time and she loved it. We had the last time to go up which was 11pm, so we saw the city lights all around us.",5.0,4.1988
514,Must see!,Very fun visit! Exhibition design is interactive. Engaging and educational. Recommend for families with teens.,5.0,4.662
515,Amazing views great value for money,"Booked tickets on the day, really helpful staff great visit from start to finish. Great value for money even the gifts in the gift shop was reasonably priced well worth a visit.",5.0,4.9262
516,Empire State August 22,"Exceeded expectations very well done, did the same day morning and nighttime visit and would recommend this",5.0,4.1968
517,Beautiful,The views were AMAZING. We went to the 86th floor and it did not disappoint. The pictures they offer are decently priced as well!!,4.0,4.7164
518,Excellent,very nice place and the view it has is excellent very tidy 100 percent recommended with the family we really enjoyed the place,5.0,4.8078
519,Well you have to don’t you,"The ESB was on the list of things my 13yo wanted to see in NYC, so of course we had to.

Absolutely recommend the day/night two trip choice to see the difference.

Staff all very friendly, with one exception. The security guy in return for the night visit betrayed me for arriving 4 mins early… I’d checked on exit when the ticket was valid and was told after sun down - we arrived an hour after sunset and it was totally dark, so we were not going to get the sunset experience. Recommend double checking the time you have return validity. The ESB could make this more clear",5.0,4.6868
520,Awe inspiring.,Empire State Building and the 86th floor was a truly stupendous experience. The museum had interesting and eye catching information. The open air view was astounding. Must see experience.,5.0,4.6251999999999995
521,Amazing VIP Tour of a Lifetime,"Most amazing tour experience with the incredible Renita Edmond, VIP Ambassador.
Purchased the VIP experience and really got one as my husband and I were the only ones who booked at that time. Renita has been on board with the Empire State Building for many many years and has so much information and knowledge to share.
We were so blessed to take this tour with her and are forever grateful for the experience. Thank you Renita! We appreciate how amazing you are and how special our visit was xoxox",5.0,4.9758
522,Be a Gorilla and go to the top the views will not disappoint,"This was our second trip to the big Apple. We had not been to the Empire State Building before so this was our first time. I thought the views from One Freedom tower were awesome, I was mistaken the views of NYC. From the 84th floor were amazing then the outdoor viewing area was incredible, buts that’s not all there is another viewing area at the top of the building. It is a must see attraction. If your a romantic their is a sunset viewing time but they fill up quick.",5.0,4.6844
523,Very impressive,A very well organised experience. The museum was interesting and informative. Obviously the highlight was the viewing platform on the 86th floor. Truly impressive views over stunning manhatten from an iconic building. No trip to New York is complete without visiting this attraction,5.0,4.897
524,Memorable experience,We were very excited to view NYC from the 86th floor. It was a very memorable experience! Definitely worth by visiting when in NYC!,5.0,4.5974
525,Chambers family,We really enjoyed our visit to the Empire State Building. And we really appreciate the outstanding family photo that a lady there took of us. It is so nice to have a great family photo that captures the view and experience.,5.0,4.9232
526,Wonderful Experience - Couldn't be happier,"The ticket process was easy, the signage clear. The staff was friendly and helpful. It's a bit of a fun museum maze at first but once you reach the elevator banks it becomes a delightful ride up with excellent distractions, photo opportunities and cheerful assistants pointing the way to the more favorable parts of the the tour before going out on the observation deck. Which is well managed, people are generally pleasant and the views spectacular. We did not go all the way up to the top as we did not have the time that day but overheard it was pretty amazing as well.

Highly recommend this if your in NYC and have the opportunity.",5.0,4.9916
527,Much improved attraction,I have visited this attraction quite a few times over the last 20-30 years with various friends and family. This year I was really impressed with the improvements that have taken place.,5.0,4.8122
528,Fantastic view,"Very nice experience at the Empire State Building, my famile enjoyed a lot, the view is fantastic and it is very organized",5.0,4.7496
529,Never Goes Out of Style,"There are bigger buildings. There are tours with more things to do. But this is just a must see.

From up top my family of four could still hear and see and the City. This high up you’re above the City. But New York is so big you still feel like a part of the City. And the actual history of The Empire State Building is second to none.

I teach high school US History, and coming here is a history lesson in disguise. This building is US history, so going up The Empire State Building learning disguised as a fun unforgettable experience.",5.0,4.3911999999999995
530,Good trip,Good visit excellent attractions on ground floor. Staff a bit aggressive which was not really required.,4.0,4.6632
531,Beautiful Experience,"The interactive displays and photo opportunities were fun and great, and all the staff were really friendly. But nothing beat the view on the 86th and 102nd floor! Our whole family enjoyed the entire experience and it was a perfect addition to our NY trip",5.0,4.911
532,Great views but disorganised,"We went up the ESB just before sunset to see the city in light & dark & would definitely recommend this time of day. The views were magnificent & the building is gorgeous.

We paid extra to skip the line, but this was very disorganised & a couple of times the staff put us in the regular line. Still probably just about worth it though.",5.0,4.672
533,New Upgrades - like a new bldg,WOW! Just amazing! So many new options inside to see and explore - keep your eyes up in the elevator ride! 102 Floor - worth it!,5.0,4.8162
534,Choose your package,"The view is obviously amazing. However, I paid extra for skip the line and sunset “ time” visit.
No real point as when you get up there it was heaving with people that had been up for hours and you had to battle your way around.
View great…experience poor.",3.0,2.0465999999999998
535,Beautiful view!,"We went during the day, and we didn’t line up for too long it was pretty fast. The view is beautiful! It’s worth it! I recommend!",5.0,4.8154
536,Great Experience,The entire visit was well thought out and accommodating. The view is breathtaking. We had such an incredible time!,5.0,4.3176000000000005
537,Fun experience,"We took our three grandchildren and found it a fun activity. The variety of things - videos in the elevators, second floor exhibit, then two different observatories, plus photo op spots, made it enjoyable. I grew up in NYC but of course never went to the Empire State Building! We were lucky as there were not too many visitors on our day. Only reason for 4 stars and not 5 is that the ticket price is very high - $44 for an adult!!",4.0,4.652
538,Incredible Empire State Building,"The view is incredible in the sunset, you Can see new York aller around
Too expensive though. But hasard too bé done once in Your life",5.0,3.0
539,Failure of the elevators,We were not in position to reach thé top floor due to the failure of the elevators. No reimbursement has been obtained until now,1.0,1.8852
540,A classi,They have done a great job of including a lot of cool audiovisual aids as you wind through the building. Views iconic of course.,5.0,4.5012
541,Great photo opportunities,"This was a beautiful excursion. The inside of the building has an old timey feel with it’s Art Deco furnishings and such. The many photo opportunities were much fun. However, once to the observation deck, it was the same as many other top of the building trips. It you must have a skip line tour, this is good but just pick one.
Also, the entrance was very difficult to find, we went to three different places.

We got tickets through city pass, where we got 5 excursions for one set price.",4.0,3.9394
542,Visit to ESB,"This place is very interesting lots of history, lots of movies done here, the speed with wich it was built is unbelievable. The views of both floors visited 82 and 102 are amazing. Its a must while visiting NYC",5.0,4.6442
543,Private tour ESB,"Amazing art deco building. he journey to the observatory has a wealth of historical information on the construction and foundations of the building which is hugely interesting.
The staff are there at every step, helpful and polite and courteous.
Would highly recommend a visit for everyone and of course the stop at the gift shop.",4.0,4.9234
544,Definitely worth seeing both views,We were so glad we booked for both the day and night visits up there Empire State. The contrast of seeing the city by day and then lit up at night was an extraordinary sight to behold.,5.0,4.1898
545,Honeymoon views from the Empire State Building,What better way to start a marriage than to see that you as a couple are both part of a much larger world? My new spouse and I enjoyed the views from the top of the Empire State Building.,5.0,4.5812
546,One of the highlights of our honeymoon!,"Great experience during our honeymoon! Used Go City passes but paid extra to upgrade to sunset tickets. Security process was smooth, staff were friendly, information in the museum was interesting and the views from 86th floor were amazing! We also enjoyed the tipsy ice cream tubs for adults which helped settle my husband’s nerves a little before braving the outdoor observatory. There were quite a lot of other people around but if you’re patient, you can get a good spot to admire the views and take photos. Also there were some nice things to purchase in the gift shop at the end of the visit. Second time we have done the Empire State Building and we would return for a third time!",5.0,4.9824
547,Observation,"The whole experience was great and we liked the history of the tower before going up, it was good to get to see how it first gone about",4.0,4.7378
548,Breathtaking!,"One might say this is the most-famous building in the world and he'll certainly be right!
The significance, the location, and the view from the top are the finest. No wonder there are the long lines from people from all over the world, waiting to go to the top. And the views from up there are unrivaled!",5.0,4.3376
549,Views of New York,"Great for iconic views of New York, we were lucky with the clear and sunny weather. Shame the routes in and out of the lifts doesn't include more of the building interior.",4.0,4.6962
550,1st time visit,"Was very impressed overall. Had some difficulty finding the entrance to the building as there were no signs showing us where the entrance was located but thereafter the entire experience till we visited the 85th floor and exited the building was superb. Excellent, keep up the good work you entire team are doing",5.0,4.8944
551,Perfect place to start NYC tour,Amazing to see NYC view from top of the world. The entrance to the building give you good impression on the tower.,5.0,4.711
552,Lots to see in the NYC,"Lots to see in the NYC via the Empire State Building. Great views from all sides, The best organized, professional, patient and courteous Staff ever!",5.0,4.8336
553,City at sunset,"Brought our oldest grandson to see NYC for the first time. The visit to ESB was great, the staff was friendly and helpful and he was very impressed with the building and the views.",5.0,4.8518
554,Very good but costly,"Museum was interactive and fun. Might have liked it to have more information and depth. Highlight definitely the 102nd floor for the views. A must visit for anyone in New York, it’s historic and beautifully designed inside and out. Maybe 102 floor should be first followed by 86th floor for the wow factor! Felt very expensive for a family of 4 and that the owners are heavily capitalising/taking advantage on its unique place in history so much that even though many would grimace at the price they would not be able to ignore. That said it was very much enjoyed!",4.0,4.931
555,Wonderful Empire State Building,I have been to the Empire State Building before but this time I enjoyed the visit very well because you added more features.,5.0,4.6392
556,A NY staple,"One of the best New York experiences.
A must when you visit the city and during sunset time, OMG.
Take your time because the exhibitions are entertaining and comprehensive.
Next time i'll try to visit the 102nd floor.",5.0,4.6884
557,Sleepless in Seattle and A Beautiful Suicide,"I've wanted to see the view from here for years, and to be in the place where Sam met Annie (Tom Hanks and Meg Ryan) and to see how far it was looking down from where the beautiful suicide occurred! It did not disappoint- breathtaking views!!! 100% recommend visiting the 86th floor! The 102nd floor was not as impressive- maybe because it was indoors, but the 86th was amazing!!",5.0,4.5636
558,Excellent,"I loved everything in the observatory. It was good to see how it built, but I was afraid of the high. We take beautiful pictures from the top.",5.0,4.798
559,Empire State Building’ trip,"This august I spent one week with my partner in NYC, and instead was her first time, she would like to visit the iconic building in the city. The answer was easy….empire state building",5.0,3.7224
560,I don’t know if the $46 are worth,"View of the whole city not impressive for me but you have to see it once, my husband took the 102 floor and he told only 4 walls of glass I mean if you are in New York you have to go but they can improve the experience I don’t know",3.0,3.9173999999999998
561,Wow!!,"Just magical. Incredible experience, one of the best things in New York. Unbelievable, especially on August 10th for the S.Lawrence star’s shower",5.0,4.4368
562,Empire State Building Visit,"From start to finish this was a wonderful experience. I went with a 5 year old who had been reading about the building and he was not disappointed. I went for the VIP deluxe ticket and was glad I did. It was actually a bit less expensive since my grandson was free. The staff were helpful, courteous and cheerful. It felt like they were really pleased that we had visited. The Lobby alone is worth the price.",5.0,4.9694
563,Amazing experience,"Staff was friendly, approachable, knowledgeable. Building immaculate, views to die for. A must see at least once or twice in a lifetime. Definitely go on week day. No long lines, no crowd. Very organized. Forget your tickets? Well guess what, everything can be printed out for you, just give your email and or your phone number and address. Plain and simple.",5.0,2.4177999999999997
